MARY,2.63%,"8,536,305"
PATRICIA,1.07%,"3,484,007"
LINDA,1.04%,"3,360,622"
BARBARA,0.98%,"3,182,038"
ELIZABETH,0.94%,"3,042,418"
JENNIFER,0.93%,"3,026,183"
MARIA,0.83%,"2,688,498"
SUSAN,0.79%,"2,578,100"
MARGARET,0.77%,"2,493,679"
DOROTHY,0.73%,"2,360,553"
LISA,0.70%,"2,285,872"
NANCY,0.67%,"2,172,228"
KAREN,0.67%,"2,165,734"
BETTY,0.67%,"2,162,487"
HELEN,0.66%,"2,152,746"
SANDRA,0.63%,"2,042,349"
DONNA,0.58%,"1,892,988"
CAROL,0.57%,"1,834,543"
RUTH,0.56%,"1,824,802"
SHARON,0.52%,"1,694,922"
MICHELLE,0.52%,"1,685,182"
LAURA,0.51%,"1,655,959"
SARAH,0.51%,"1,649,465"
KIMBERLY,0.50%,"1,636,477"
DEBORAH,0.49%,"1,604,007"
JESSICA,0.49%,"1,591,019"
SHIRLEY,0.48%,"1,565,043"
CYNTHIA,0.47%,"1,522,833"
ANGELA,0.47%,"1,519,586"
MELISSA,0.46%,"1,500,104"
BRENDA,0.46%,"1,477,375"
AMY,0.45%,"1,464,387"
ANNA,0.44%,"1,428,670"
REBECCA,0.43%,"1,396,201"
VIRGINIA,0.43%,"1,396,201"
KATHLEEN,0.42%,"1,376,719"
PAMELA,0.42%,"1,350,743"
MARTHA,0.41%,"1,337,755"
DEBRA,0.41%,"1,324,767"
AMANDA,0.40%,"1,311,779"
STEPHANIE,0.40%,"1,298,791"
CAROLYN,0.39%,"1,250,087"
CHRISTINE,0.38%,"1,240,346"
MARIE,0.38%,"1,230,605"
JANET,0.38%,"1,230,605"
CATHERINE,0.37%,"1,211,123"
FRANCES,0.37%,"1,201,382"
ANN,0.36%,"1,181,900"
JOYCE,0.36%,"1,181,900"
DIANE,0.36%,"1,165,665"
ALICE,0.36%,"1,159,171"
JULIE,0.35%,"1,129,948"
HEATHER,0.34%,"1,094,232"
TERESA,0.34%,"1,090,985"
DORIS,0.34%,"1,087,738"
GLORIA,0.34%,"1,087,738"
EVELYN,0.32%,"1,045,527"
JEAN,0.32%,"1,022,798"
CHERYL,0.32%,"1,022,798"
MILDRED,0.31%,"1,016,304"
KATHERINE,0.31%,"1,016,304"
JOAN,0.31%,"993,575"
ASHLEY,0.30%,"983,834"
JUDITH,0.30%,"964,352"
ROSE,0.30%,"961,105"
JANICE,0.29%,"925,389"
KELLY,0.28%,"918,895"
NICOLE,0.28%,"912,401"
JUDY,0.28%,"896,166"
CHRISTINA,0.28%,"892,919"
KATHY,0.27%,"883,178"
THERESA,0.27%,"879,931"
BEVERLY,0.27%,"866,943"
DENISE,0.26%,"857,202"
TAMMY,0.26%,"840,967"
IRENE,0.25%,"818,238"
JANE,0.25%,"811,744"
LORI,0.25%,"805,251"
RACHEL,0.24%,"785,769"
MARILYN,0.24%,"782,522"
ANDREA,0.24%,"766,287"
KATHRYN,0.23%,"759,793"
LOUISE,0.23%,"743,558"
SARA,0.23%,"743,558"
ANNE,0.23%,"740,311"
JACQUELINE,0.23%,"740,311"
WANDA,0.23%,"733,817"
BONNIE,0.22%,"724,076"
JULIA,0.22%,"724,076"
RUBY,0.22%,"717,582"
LOIS,0.22%,"714,335"
TINA,0.22%,"714,335"
PHYLLIS,0.22%,"711,088"
NORMA,0.22%,"707,841"
PAULA,0.22%,"704,594"
DIANA,0.22%,"701,347"
ANNIE,0.22%,"701,347"
LILLIAN,0.21%,"685,112"
EMILY,0.21%,"675,371"
ROBIN,0.21%,"675,371"
PEGGY,0.21%,"675,371"
CRYSTAL,0.21%,"672,124"
GLADYS,0.21%,"665,630"
RITA,0.20%,"662,384"
DAWN,0.20%,"655,890"
CONNIE,0.20%,"649,396"
FLORENCE,0.20%,"649,396"
TRACY,0.20%,"639,655"
EDNA,0.20%,"639,655"
TIFFANY,0.20%,"633,161"
CARMEN,0.20%,"633,161"
ROSA,0.19%,"629,914"
CINDY,0.19%,"623,420"
GRACE,0.19%,"613,679"
WENDY,0.19%,"600,691"
VICTORIA,0.18%,"584,456"
EDITH,0.18%,"581,209"
KIM,0.18%,"577,962"
SHERRY,0.18%,"577,962"
SYLVIA,0.18%,"574,715"
JOSEPHINE,0.18%,"574,715"
THELMA,0.18%,"568,221"
SHANNON,0.18%,"568,221"
SHEILA,0.18%,"568,221"
ETHEL,0.17%,"564,974"
ELLEN,0.17%,"561,727"
ELAINE,0.17%,"561,727"
MARJORIE,0.17%,"561,727"
CARRIE,0.17%,"555,233"
CHARLOTTE,0.17%,"548,739"
MONICA,0.17%,"538,998"
ESTHER,0.17%,"538,998"
PAULINE,0.17%,"535,751"
EMMA,0.17%,"535,751"
JUANITA,0.16%,"532,504"
ANITA,0.16%,"526,010"
RHONDA,0.16%,"526,010"
HAZEL,0.16%,"522,763"
AMBER,0.16%,"519,516"
EVA,0.16%,"516,269"
DEBBIE,0.16%,"509,776"
APRIL,0.15%,"500,035"
LESLIE,0.15%,"500,035"
CLARA,0.15%,"496,788"
LUCILLE,0.15%,"496,788"
JAMIE,0.15%,"496,788"
JOANNE,0.15%,"487,047"
ELEANOR,0.15%,"487,047"
VALERIE,0.15%,"483,800"
DANIELLE,0.15%,"483,800"
MEGAN,0.15%,"477,306"
ALICIA,0.15%,"474,059"
SUZANNE,0.15%,"470,812"
MICHELE,0.15%,"470,812"
GAIL,0.15%,"470,812"
BERTHA,0.14%,"464,318"
DARLENE,0.14%,"461,071"
VERONICA,0.14%,"461,071"
JILL,0.14%,"461,071"
ERIN,0.14%,"457,824"
GERALDINE,0.14%,"457,824"
LAUREN,0.14%,"444,836"
CATHY,0.14%,"444,836"
JOANN,0.14%,"441,589"
LORRAINE,0.14%,"438,342"
LYNN,0.14%,"438,342"
SALLY,0.14%,"438,342"
REGINA,0.13%,"431,848"
ERICA,0.13%,"422,107"
