SMITH,"2,442,977",70.90%,23.11%,0.50%,0.89%,2.19%,2.40%
JOHNSON,"1,932,812",58.97%,34.63%,0.54%,0.94%,2.56%,2.36%
WILLIAMS,"1,625,252",45.75%,47.68%,0.46%,0.82%,2.81%,2.49%
BROWN,"1,437,026",57.95%,35.60%,0.51%,0.87%,2.55%,2.52%
JONES,"1,425,470",55.19%,38.48%,0.44%,1.00%,2.61%,2.29%
GARCIA,"1,166,120",5.38%,0.45%,1.41%,0.47%,0.26%,92.03%
MILLER,"1,161,437",84.11%,10.76%,0.54%,0.66%,1.77%,2.17%
DAVIS,"1,116,357",62.20%,31.60%,0.49%,0.82%,2.45%,2.44%
RODRIGUEZ,"1,094,924",4.75%,0.54%,0.57%,0.18%,0.18%,93.77%
MARTINEZ,"1,060,159",5.28%,0.49%,0.60%,0.51%,0.22%,92.91%
HERNANDEZ,"1,043,281",3.79%,0.36%,0.60%,0.19%,0.16%,94.89%
LOPEZ,"874,523",4.86%,0.57%,1.02%,0.38%,0.25%,92.92%
GONZALEZ,"841,025",4.03%,0.35%,0.38%,0.14%,0.13%,94.97%
WILSON,"801,882",67.36%,25.99%,0.60%,1.06%,2.38%,2.61%
ANDERSON,"784,404",75.17%,18.93%,0.61%,0.74%,2.11%,2.44%
THOMAS,"756,142",52.63%,38.75%,2.44%,1.07%,2.58%,2.54%
TAYLOR,"751,209",65.38%,28.42%,0.56%,0.76%,2.41%,2.46%
MOORE,"724,374",66.41%,27.74%,0.48%,0.68%,2.34%,2.34%
JACKSON,"708,099",39.89%,53.04%,0.39%,1.06%,3.12%,2.50%
MARTIN,"702,625",74.80%,15.76%,0.90%,0.98%,2.02%,5.56%
LEE,"693,023",35.95%,16.33%,42.22%,0.97%,2.64%,1.89%
PEREZ,"681,645",4.96%,0.45%,1.17%,0.20%,0.26%,92.95%
THOMPSON,"664,644",69.78%,23.57%,0.57%,1.22%,2.37%,2.49%
WHITE,"660,491",65.51%,28.17%,0.49%,1.07%,2.38%,2.38%
HARRIS,"624,252",51.40%,42.39%,0.47%,0.67%,2.80%,2.26%
SANCHEZ,"612,752",4.98%,0.45%,0.96%,0.37%,0.24%,92.99%
CLARK,"562,679",74.65%,19.02%,0.54%,1.01%,2.19%,2.58%
RAMIREZ,"557,423",3.89%,0.31%,0.93%,0.20%,0.19%,94.48%
LEWIS,"531,781",58.23%,34.84%,0.56%,1.20%,2.58%,2.58%
ROBINSON,"529,821",48.70%,44.93%,0.46%,0.53%,2.77%,2.61%
WALKER,"523,129",58.66%,35.05%,0.45%,0.87%,2.55%,2.41%
YOUNG,"484,447",66.26%,24.67%,3.03%,0.79%,2.66%,2.58%
ALLEN,"482,607",67.59%,26.17%,0.54%,0.86%,2.38%,2.47%
KING,"465,422",70.16%,22.76%,1.23%,0.98%,2.31%,2.55%
WRIGHT,"458,980",65.80%,28.23%,0.51%,0.69%,2.41%,2.36%
SCOTT,"439,530",60.21%,32.92%,0.51%,1.18%,2.59%,2.58%
TORRES,"437,813",5.35%,0.57%,1.43%,0.20%,0.28%,92.16%
NGUYEN,"437,645",0.95%,0.12%,96.45%,0.03%,1.83%,0.63%
HILL,"434,827",64.36%,29.12%,0.53%,0.97%,2.51%,2.51%
FLORES,"433,969",4.87%,0.42%,2.08%,0.34%,0.36%,91.94%
GREEN,"430,182",56.84%,36.97%,0.44%,0.64%,2.47%,2.64%
ADAMS,"427,865",74.02%,19.90%,0.56%,0.79%,2.16%,2.57%
NELSON,"424,958",77.66%,15.97%,0.67%,1.16%,2.00%,2.55%
BAKER,"419,586",79.83%,14.44%,0.56%,0.87%,2.02%,2.28%
HALL,"407,076",72.65%,21.59%,0.64%,0.65%,2.22%,2.25%
RIVERA,"391,114",5.40%,0.95%,2.04%,0.18%,0.37%,91.06%
CAMPBELL,"386,157",73.66%,20.47%,0.53%,0.71%,2.13%,2.49%
MITCHELL,"384,486",61.02%,32.50%,0.48%,1.04%,2.50%,2.47%
CARTER,"376,966",58.20%,35.59%,0.45%,0.78%,2.65%,2.34%
ROBERTS,"376,774",77.27%,16.72%,0.61%,0.85%,2.15%,2.40%
GOMEZ,"365,655",5.12%,0.75%,1.01%,0.26%,0.26%,92.60%
PHILLIPS,"360,802",76.69%,17.09%,0.58%,1.03%,2.17%,2.44%
EVANS,"355,593",68.39%,25.72%,0.47%,0.74%,2.30%,2.39%
TURNER,"348,627",64.25%,30.13%,0.42%,0.60%,2.38%,2.23%
DIAZ,"347,636",5.19%,0.65%,1.19%,0.16%,0.25%,92.56%
PARKER,"336,221",69.17%,24.79%,0.54%,0.88%,2.35%,2.26%
CRUZ,"334,201",5.17%,0.80%,5.19%,0.27%,0.70%,87.88%
EDWARDS,"332,423",62.13%,31.63%,0.50%,0.77%,2.47%,2.50%
COLLINS,"329,770",71.61%,22.43%,0.49%,0.77%,2.23%,2.47%
REYES,"327,904",4.41%,0.59%,5.58%,0.24%,0.59%,88.58%
STEWART,"324,957",69.17%,24.86%,0.48%,0.77%,2.24%,2.49%
MORRIS,"318,884",73.59%,20.08%,0.57%,0.98%,2.24%,2.55%
MORALES,"311,777",4.63%,0.57%,1.18%,0.17%,0.21%,93.23%
MURPHY,"308,417",83.11%,11.53%,0.58%,0.68%,1.76%,2.34%
COOK,"302,589",81.80%,12.55%,0.57%,0.92%,1.98%,2.17%
ROGERS,"302,261",75.40%,18.53%,0.54%,0.82%,2.10%,2.62%
GUTIERREZ,"293,218",4.57%,0.24%,1.40%,0.25%,0.20%,93.33%
ORTIZ,"286,899",4.96%,0.64%,0.67%,0.37%,0.25%,93.11%
MORGAN,"286,280",76.07%,17.27%,0.54%,1.24%,2.10%,2.78%
COOPER,"280,791",67.93%,26.13%,0.50%,0.74%,2.31%,2.40%
PETERSON,"278,297",84.39%,10.09%,0.66%,0.74%,1.72%,2.40%
BAILEY,"277,845",72.45%,22.00%,0.50%,0.62%,2.16%,2.28%
REED,"277,030",71.29%,22.63%,0.51%,1.05%,2.30%,2.22%
KELLY,"267,394",78.09%,16.22%,0.64%,0.54%,1.81%,2.69%
HOWARD,"264,826",64.31%,29.49%,0.50%,0.87%,2.46%,2.37%
RAMOS,"263,464",6.49%,0.98%,4.89%,0.19%,0.65%,86.79%
KIM,"262,352",2.52%,0.39%,94.47%,0.02%,1.96%,0.65%
COX,"261,231",82.62%,12.07%,0.50%,0.67%,1.82%,2.33%
WARD,"260,464",75.58%,18.50%,0.49%,0.91%,2.08%,2.44%
RICHARDSON,"259,798",59.70%,33.63%,0.48%,1.10%,2.44%,2.65%
WATSON,"252,579",66.03%,27.90%,0.53%,0.82%,2.30%,2.41%
BROOKS,"251,663",60.22%,33.47%,0.48%,0.79%,2.56%,2.48%
CHAVEZ,"250,898",5.02%,0.21%,0.65%,0.94%,0.23%,92.96%
WOOD,"250,715",88.72%,5.57%,0.66%,0.84%,1.79%,2.42%
JAMES,"249,379",51.58%,38.86%,1.27%,2.58%,2.64%,3.08%
BENNETT,"247,599",76.56%,17.53%,0.53%,0.88%,1.99%,2.50%
GRAY,"246,116",68.68%,25.13%,0.54%,0.91%,2.33%,2.41%
MENDOZA,"242,771",4.11%,0.35%,4.91%,0.24%,0.42%,89.97%
RUIZ,"238,234",5.17%,0.44%,1.03%,0.22%,0.24%,92.89%
HUGHES,"236,271",78.39%,16.13%,0.50%,0.53%,1.97%,2.47%
PRICE,"235,251",73.93%,20.51%,0.51%,0.66%,2.14%,2.24%
ALVAREZ,"233,983",5.18%,0.60%,1.16%,0.38%,0.23%,92.45%
CASTILLO,"230,420",4.92%,0.72%,3.04%,0.59%,0.46%,90.26%
SANDERS,"230,374",60.78%,32.97%,0.41%,0.84%,2.43%,2.57%
PATEL,"229,973",2.10%,0.38%,94.78%,0.65%,1.65%,0.44%
MYERS,"229,895",84.50%,10.54%,0.50%,0.55%,1.80%,2.10%
LONG,"229,374",79.88%,12.10%,2.48%,1.32%,1.97%,2.24%
ROSS,"229,368",68.96%,24.46%,0.61%,0.90%,2.32%,2.75%
FOSTER,"227,764",69.65%,23.94%,0.55%,0.88%,2.33%,2.65%
JIMENEZ,"227,118",3.84%,0.29%,1.49%,0.20%,0.21%,93.97%
POWELL,"224,874",67.20%,27.12%,0.46%,0.62%,2.29%,2.31%
JENKINS,"222,653",57.76%,36.78%,0.39%,0.57%,2.42%,2.07%
PERRY,"221,741",68.32%,25.20%,0.57%,0.81%,2.43%,2.67%
RUSSELL,"221,558",77.05%,16.69%,0.57%,1.05%,2.18%,2.46%
SULLIVAN,"220,990",87.73%,7.13%,0.60%,0.57%,1.59%,2.39%
BELL,"220,599",61.11%,32.35%,0.55%,1.01%,2.51%,2.46%
COLEMAN,"219,070",49.43%,44.60%,0.40%,0.53%,2.79%,2.25%
BUTLER,"218,847",62.36%,31.54%,0.45%,0.84%,2.45%,2.35%
HENDERSON,"218,393",59.63%,33.98%,0.45%,0.86%,2.56%,2.51%
BARNES,"218,241",64.81%,29.28%,0.48%,0.75%,2.35%,2.33%
GONZALES,"214,758",9.83%,0.99%,3.80%,0.76%,0.56%,84.06%
FISHER,"214,703",82.58%,11.79%,0.55%,0.76%,1.89%,2.43%
VASQUEZ,"212,781",5.06%,0.51%,0.73%,0.29%,0.24%,93.17%
SIMMONS,"210,182",57.91%,36.15%,0.47%,0.67%,2.52%,2.29%
ROMERO,"208,614",8.65%,0.50%,1.30%,0.69%,0.37%,88.50%
JORDAN,"208,403",61.44%,30.73%,0.55%,0.72%,2.45%,4.11%
PATTERSON,"205,423",67.27%,26.80%,0.47%,0.68%,2.35%,2.43%
ALEXANDER,"204,621",58.19%,34.04%,1.24%,0.70%,2.66%,3.17%
HAMILTON,"201,746",70.21%,23.71%,0.54%,0.80%,2.29%,2.45%
GRAHAM,"201,159",70.02%,23.99%,0.51%,0.80%,2.13%,2.55%
REYNOLDS,"200,247",81.08%,13.21%,0.52%,0.71%,2.02%,2.45%
GRIFFIN,"198,406",63.77%,30.81%,0.44%,0.47%,2.28%,2.21%
WALLACE,"197,276",69.24%,24.70%,0.51%,0.77%,2.31%,2.47%
MORENO,"196,925",6.09%,0.43%,0.67%,0.37%,0.22%,92.23%
WEST,"195,818",75.48%,18.48%,0.49%,0.83%,2.27%,2.45%
COLE,"195,289",75.33%,18.89%,0.55%,0.72%,2.10%,2.41%
HAYES,"194,246",69.38%,24.69%,0.49%,0.81%,2.34%,2.29%
BRYANT,"192,773",58.46%,35.58%,0.39%,0.89%,2.47%,2.21%
HERRERA,"192,711",4.92%,0.36%,0.96%,0.51%,0.22%,93.03%
GIBSON,"190,667",72.14%,21.78%,0.46%,0.97%,2.34%,2.31%
ELLIS,"188,968",70.36%,23.47%,0.54%,0.66%,2.24%,2.73%
TRAN,"188,498",1.35%,0.10%,96.00%,0.03%,1.70%,0.81%
MEDINA,"188,497",5.69%,0.60%,1.92%,0.30%,0.33%,91.16%
AGUILAR,"186,512",4.03%,0.26%,1.64%,0.52%,0.23%,93.32%
STEVENS,"185,674",81.44%,11.82%,0.64%,1.33%,2.04%,2.74%
MURRAY,"184,910",74.92%,19.29%,0.57%,0.60%,2.02%,2.60%
FORD,"184,832",62.05%,32.00%,0.45%,0.61%,2.52%,2.37%
CASTRO,"184,134",7.29%,0.66%,3.74%,0.24%,0.64%,87.42%
MARSHALL,"183,922",66.03%,27.51%,0.58%,0.96%,2.34%,2.58%
OWENS,"182,719",65.85%,28.41%,0.36%,0.75%,2.47%,2.17%
HARRISON,"181,091",68.66%,24.45%,0.52%,1.39%,2.27%,2.70%
FERNANDEZ,"180,842",8.77%,1.15%,5.38%,0.18%,0.93%,83.58%
MCDONALD,"180,497",76.65%,17.28%,0.55%,0.78%,2.01%,2.73%
WOODS,"177,425",58.30%,35.30%,0.42%,0.88%,2.74%,2.35%
WASHINGTON,"177,386",5.17%,87.53%,0.30%,0.68%,3.78%,2.54%
KENNEDY,"176,865",80.82%,13.63%,0.62%,0.61%,1.87%,2.45%
WELLS,"176,230",74.00%,20.00%,0.49%,0.87%,2.22%,2.41%
VARGAS,"173,835",5.41%,0.42%,0.85%,0.18%,0.22%,92.92%
HENRY,"170,964",61.43%,30.68%,0.84%,1.87%,2.34%,2.84%
CHEN,"169,580",1.40%,0.30%,96.12%,0.02%,1.64%,0.52%
FREEMAN,"169,149",65.50%,28.34%,0.52%,0.95%,2.38%,2.30%
WEBB,"168,878",75.53%,19.08%,0.46%,0.66%,1.99%,2.29%
TUCKER,"167,446",70.01%,24.17%,0.45%,0.78%,2.25%,2.35%
GUZMAN,"167,044",4.11%,0.42%,1.29%,0.15%,0.27%,93.77%
